Timestamp,CPU_Model,CPU_Cores,CPU_Usage,Mem_Total,Mem_Used,Mem_Percent,Disk_Percent,Temp,GPU_Name
20251214_223525,12th Gen Intel(R) Core(TM) i5-12500H,16,10.54,23.63,10.23,43.29,60,N/A,NVIDIA GeForce RTX 3050 Laptop GPU
20251214_224652,12th Gen Intel(R) Core(TM) i5-12500H,16,0,23.63,11.19,47.36,60,N/A,NVIDIA GeForce RTX 3050 Laptop GPU
20251214_224724,12th Gen Intel(R) Core(TM) i5-12500H,16,19.91,23.63,11.20,47.40,60,N/A,NVIDIA GeForce RTX 3050 Laptop GPU
20251214_225147,12th Gen Intel(R) Core(TM) i5-12500H,16,0,23.63,11.75,49.72,61,N/A,NVIDIA GeForce RTX 3050 Laptop GPU
20251214_225352,12th Gen Intel(R) Core(TM) i5-12500H,16,0,23.63,12.03,50.91,61,N/A,NVIDIA GeForce RTX 3050 Laptop GPU
20251214_225427,12th Gen Intel(R) Core(TM) i5-12500H,16,27.32,23.63,12.84,54.34,61,N/A,NVIDIA GeForce RTX 3050 Laptop GPU
20251214_225740,12th Gen Intel(R) Core(TM) i5-12500H,16,0,23.63,12.61,53.36,61,N/A,NVIDIA GeForce RTX 3050 Laptop GPU
20251214_230048,12th Gen Intel(R) Core(TM) i5-12500H,16,0,23.63,12.86,54.42,61,N/A,NVIDIA GeForce RTX 3050 Laptop GPU
20251214_230811,12th Gen Intel(R) Core(TM) i5-12500H,16,0,23.63,12.47,52.77,61,N/A,NVIDIA GeForce RTX 3050 Laptop GPU
